"","film_id","year","length","budget","votes","genre","rating","Rating_above_7"
"61",36215,1932,70,15.3,6,"Romance",3.7,"No"
"62",13474,1999,94,13,137,"Comedy",8,"Yes"
"63",22900,1937,11,14.8,15,"Short",7.7,"Yes"
"64",46919,1984,101,17.8,20,"Drama",2.5,"No"
"65",51191,1955,87,14,52,"Action",5.5,"No"
"66",14242,1955,93,6.8,125,"Comedy",4.9,"No"
"67",45024,1945,65,9.6,19,"Comedy",8,"Yes"
"68",37128,1984,96,12.4,5,"Documentary",8.2,"Yes"
"69",18856,1967,92,12.6,271,"Drama",3.5,"No"
"70",23482,1995,97,13.8,59,"Drama",6.1,"No"
"71",6258,1932,93,8.7,426,"Drama",6.8,"No"
"72",24776,1989,5,9.4,43,"Animation",2.8,"No"
"73",6390,1992,86,7.6,59,"Action",3.5,"No"
"74",4610,1956,106,11.7,380,"Action",5.1,"No"
"75",38200,1980,90,16.4,23,"Romance",5.1,"No"
"76",53355,1921,26,10.2,11,"Short",7.1,"Yes"
"77",26024,1990,NA,13.4,7,"Action",2.8,"No"
"78",40103,1966,7,6.4,21,"Animation",2.5,"No"
"79",1550,1993,93,14.1,72,"Drama",4.2,"No"
"80",15663,1995,NA,14.2,107,"Action",2.6,"No"
"81",37141,1988,153,11.3,27,"Drama",3.8,"No"
"82",51442,1969,84,14.6,5,"Comedy",7.7,"Yes"
"83",19000,1985,84,9.4,5,"Action",4.4,"No"
"84",35257,2002,84,7.9,28,"Documentary",3.9,"No"
"85",46840,1991,118,12.3,92060,"Action",3.6,"No"
"86",26740,1994,100,10.6,72,"Action",4.7,"No"
"87",20837,1991,82,12.2,43,"Drama",2.8,"No"
"88",9300,1984,152,15.5,8,"Drama",4.6,"No"
"89",31525,2004,91,10.2,389,"Action",3.7,"No"
"90",27563,1956,84,9.9,16,"Action",5.5,"No"
"91",5271,1985,97,17.2,8109,"Comedy",4,"No"
"92",39007,1998,105,10.2,108,"Drama",4.9,"No"
"93",8287,1944,56,11.4,9,"Action",2,"No"
"94",23417,1935,11,15.4,13,"Documentary",8.7,"Yes"
"95",47298,1941,227,10.1,6,"Action",3.5,"No"
"96",39791,1912,15,10.7,7,"Comedy",8.1,"Yes"
"97",5380,1931,70,13.8,12,"Drama",4.4,"No"
"98",57620,1915,31,14.8,118,"Comedy",9,"Yes"
"99",18276,1954,6,12.1,9,"Animation",8.2,"Yes"
"100",492,2001,100,10.2,9,"Action",3.8,"No"
"101",19884,1955,93,11.3,137,"Comedy",5.4,"No"
"102",49603,1977,NA,11.2,510,"Drama",5.8,"No"
"103",22942,1994,91,12.9,171,"Action",3.9,"No"
"104",52555,1980,98,13.2,404,"Action",5,"No"
"105",41838,1996,134,15.2,173,"Drama",3.3,"No"
"106",43380,1995,109,12.4,5,"Action",3,"No"
"107",12459,1976,87,8.8,8,"Action",4.4,"No"
"108",43023,1998,100,15,10,"Action",4.3,"No"
"109",55734,1999,95,10.2,85,"Drama",3.4,"No"
"110",15554,1996,100,11.3,67,"Drama",4.9,"No"
"111",15231,1987,78,2.9,6,"Drama",4.1,"No"
"112",41292,1997,81,13,35,"Drama",4.5,"No"
"113",40348,1944,7,13.1,18,"Animation",8.9,"Yes"
"114",5920,1988,93,10.5,616,"Action",3.6,"No"
"115",29830,1997,92,12.7,299,"Comedy",7.8,"Yes"
"116",15204,1904,2,13.3,8,"Short",7.9,"Yes"
"117",52291,1987,110,13.3,2065,"Comedy",3.9,"No"
"118",31632,1993,110,12,17,"Drama",4.3,"No"
"119",46454,1969,122,18.3,10,"Action",4,"No"
"120",26082,2001,84,10.5,6,"Action",2.1,"No"
"121",25571,1998,97,8.2,95,"Drama",5.2,"No"
"122",35140,1937,95,13.3,21,"Comedy",2.9,"No"
"123",36302,1993,97,8.7,130,"Drama",3.4,"No"
"124",53517,1990,134,17.1,9,"Drama",2.5,"No"
"125",33877,1944,66,11.4,5,"Action",2.7,"No"
"126",38371,1986,90,13.1,16,"Drama",3.4,"No"
"127",9763,1941,6,15.4,6,"Animation",8.1,"Yes"
"128",3770,1997,145,8.3,139,"Documentary",5.8,"No"
"129",10397,1966,6,8.7,17,"Animation",8.1,"Yes"
"130",52460,1987,132,12.2,13,"Drama",3.4,"No"
"131",53570,1951,93,13.3,5,"Action",3.4,"No"
"132",53918,1998,NA,12.6,38,"Comedy",8,"Yes"
"133",45656,1938,9,13.8,46,"Animation",8,"Yes"
"134",39903,1914,480,17.6,7,"Action",4.1,"No"
"135",22449,1936,72,12.3,8,"Drama",3.9,"No"
"136",14948,1989,113,11.9,2216,"Comedy",7.9,"Yes"
"137",17424,2003,80,13.4,9,"Action",3.7,"No"
"138",43566,1980,106,13.1,194,"Comedy",8.6,"Yes"
"139",44710,1991,118,12.6,21,"Action",5.3,"No"
"140",56712,1929,65,11.9,17,"Drama",5.5,"No"
"141",25688,2003,96,10.5,21,"Comedy",5,"No"
"142",21167,1940,124,10.3,10465,"Comedy",2.6,"No"
"143",19269,1997,72,8.3,35,"Action",5.8,"No"
"144",14380,1967,86,11.3,19,"Action",5.3,"No"
"145",17965,1939,84,6,67,"Comedy",2.7,"No"
"146",40704,1975,92,5.4,31,"Drama",4.9,"No"
"147",28814,2001,94,15,82,"Drama",5.1,"No"
"148",1792,2005,89,11.1,7,"Comedy",8.7,"Yes"
"149",56993,1953,77,18.1,28,"Drama",4.8,"No"
"150",9609,1992,93,8.8,34,"Drama",4.3,"No"
"151",52330,1907,7,10.6,5,"Comedy",8.6,"Yes"
"152",45462,1948,99,10.5,208,"Action",3.8,"No"
"153",35901,1920,18,14.1,159,"Comedy",8.6,"Yes"
"154",53679,1977,105,7.5,21,"Comedy",2.9,"No"
"155",31399,1962,82,13.1,13,"Action",2.1,"No"
"156",39869,2001,103,9.7,71,"Action",4.5,"No"
"157",57024,1940,100,12.4,8,"Action",5.1,"No"
"158",28537,1994,117,13.8,59,"Comedy",8.1,"Yes"
"159",46168,1940,6,16.4,13,"Animation",7.2,"Yes"
"160",5654,1974,106,10.1,22,"Documentary",8.7,"Yes"
"161",19410,2001,87,5.4,37,"Drama",4,"No"
"162",5621,1965,9,15.2,17,"Documentary",7.8,"Yes"
"163",21041,1982,130,7.8,80,"Action",4.6,"No"
"164",27455,1942,89,14,6,"Comedy",7.5,"Yes"
"165",410,2003,NA,13.1,6,"Drama",8.2,"Yes"
"166",4396,2002,102,14.8,4943,"Comedy",8.1,"Yes"
"167",1247,1972,80,7,10,"Documentary",5.7,"No"
"168",13734,1975,95,14,34,"Action",2.7,"No"
"169",41390,1933,NA,13.7,81,"Comedy",4,"No"
"170",29436,1976,311,7.1,28,"Action",2.5,"No"
"171",67,1935,104,10.3,11,"Comedy",5,"No"
"172",16350,1958,95,12.5,25,"Comedy",7.9,"Yes"
"173",16438,1987,93,5,67,"Drama",4.9,"No"
"174",34189,2004,159,15.7,135,"Documentary",8.3,"Yes"
"175",44613,1992,NA,11.7,17,"Drama",4.4,"No"
"176",6689,2000,NA,9.5,6,"Documentary",4.8,"No"
"177",52956,1976,98,13.2,33,"Action",3.5,"No"
"178",45971,2003,88,9,5,"Comedy",2.5,"No"
"179",52085,1973,104,13.2,163,"Action",3.5,"No"
"180",34783,1980,97,8.7,16,"Drama",5.3,"No"
"181",28376,2001,95,16.3,18,"Drama",3.7,"No"
"182",49062,1953,84,14,39,"Action",5,"No"
"183",38982,1938,78,12.3,40,"Comedy",2.7,"No"
"184",9516,1982,94,10.2,69,"Drama",5.6,"No"
"185",31100,2002,3,16.6,6,"Drama",7.7,"Yes"
"186",31115,2000,105,11.4,2396,"Comedy",7.4,"Yes"
"187",19363,2004,88,14.4,13,"Documentary",7.9,"Yes"
"188",31186,1990,75,7.4,33,"Drama",3.7,"No"
"189",12574,1938,7,9.3,17,"Animation",8.2,"Yes"
"190",37053,1991,85,10.6,14,"Drama",4.3,"No"
"191",16895,2004,122,11.8,34666,"Documentary",8.2,"Yes"
"192",27392,2003,24,13.7,10,"Animation",8.1,"Yes"
"193",46638,1956,80,12,11,"Action",3.7,"No"
"194",57441,1980,NA,10.2,7,"Action",4.6,"No"
"195",22771,1980,100,7.8,587,"Comedy",4.8,"No"
"196",10298,1915,4,10.5,9,"Documentary",8.4,"Yes"
"197",7241,2000,23,12.3,14,"Drama",8.3,"Yes"
"198",44407,2002,115,7.4,163,"Drama",2.8,"No"
"199",55638,1988,93,15.7,5,"Documentary",7.5,"Yes"
"200",5376,1987,93,10.6,238,"Comedy",8,"Yes"
"201",40243,1969,83,17,19,"Action",7.5,"Yes"
"202",11030,1962,77,9.8,11,"Drama",4.3,"No"
"203",28637,1991,92,11.1,7,"Documentary",8.2,"Yes"
"204",6253,1985,88,12,12,"Action",3.9,"No"
"205",4077,2003,98,10.2,11189,"Comedy",8.5,"Yes"
"206",56655,1998,94,9.4,110,"Drama",3.2,"No"
"207",55810,1969,NA,5.2,26,"Drama",4.9,"No"
"208",2683,1984,8,16.7,41,"Animation",8.2,"Yes"
"209",5907,1974,98,10.5,1292,"Comedy",8.5,"Yes"
"210",39536,1935,67,13.6,7,"Comedy",8.1,"Yes"
"211",40335,1967,45,11.7,123,"Comedy",8.2,"Yes"
"212",55589,1964,85,9.1,803,"Romance",5.1,"No"
"213",13823,2001,4,12.8,5,"Short",7,"No"
"214",12149,1938,7,7.3,42,"Animation",8.7,"Yes"
"215",13233,1955,103,17.1,11,"Drama",4.3,"No"
"216",19558,1940,63,6.9,13,"Action",3.5,"No"
"217",43441,1957,81,9.6,80,"Comedy",5.3,"No"
"218",512,2003,90,3.1,6,"Drama",4.2,"No"
"219",12769,1999,90,11.7,32,"Action",4.9,"No"
"220",18184,1952,83,13.9,29,"Drama",3.1,"No"
"221",36873,1970,85,9.8,31,"Action",4.4,"No"
"222",13969,2004,20,4.8,7,"Comedy",8.6,"Yes"
"223",37838,1978,156,7.4,5,"Action",4.4,"No"
"224",7464,1935,83,15.9,26,"Comedy",7.8,"Yes"
"225",32181,1993,85,10.4,229,"Action",3,"No"
"226",16758,1996,101,12,1843,"Drama",3.6,"No"
"227",26138,1956,153,8.2,34,"Action",2.2,"No"
"228",8652,1986,93,11.5,359,"Drama",4.6,"No"
"229",1874,2002,80,7.1,26,"Drama",4.6,"No"
"230",650,1973,148,13.3,10,"Romance",3.7,"No"
"231",16406,1976,NA,10.3,6,"Action",4.4,"No"
"232",35133,1974,91,13,55,"Drama",3,"No"
"233",11112,1962,105,13,37,"Drama",4.8,"No"
"234",9979,2003,87,15,14,"Comedy",7.9,"Yes"
"235",35042,1934,61,14.3,8,"Action",3.5,"No"
"236",19706,1998,86,12.2,12,"Action",5.3,"No"
"237",40201,1983,93,19,30,"Action",8,"Yes"
"238",16383,2002,77,13.3,12,"Documentary",7.8,"Yes"
"239",21821,2001,106,14.4,26,"Action",2.4,"No"
"240",54123,1965,92,13.8,14,"Comedy",7.5,"Yes"
"241",3106,1966,NA,3.6,18,"Action",4,"No"
"242",13115,1946,76,10.3,22,"Drama",2.8,"No"
"243",15689,1999,103,11.8,17521,"Comedy",8,"Yes"
"244",22940,1942,63,7.5,13,"Action",4,"No"
"245",34431,1943,104,7.2,345,"Comedy",1.9,"No"
"246",40464,2002,94,13,596,"Comedy",5,"No"
"247",25679,1999,116,17.5,95,"Action",8,"Yes"
"248",43082,1944,70,12.8,145,"Action",3.5,"No"
"249",55964,1969,90,9.3,75,"Drama",2.7,"No"
"250",32639,2002,80,11.6,3903,"Comedy",8,"Yes"
"251",5222,1987,95,9.9,714,"Action",3.6,"No"
"252",31707,1942,86,13.2,21,"Comedy",8.3,"Yes"
"253",12822,1981,101,10,32,"Action",3.1,"No"
"254",23134,2002,86,13,8,"Action",3.7,"No"
"255",25450,1980,113,12.3,279,"Drama",4.5,"No"
"256",33693,1966,NA,11.4,5,"Action",4.7,"No"
"257",48050,1945,100,16.2,58,"Drama",2.3,"No"
"258",4807,1960,102,16.3,61,"Drama",3.9,"No"
"259",11023,1953,70,12.2,24,"Action",4.5,"No"
"260",30820,1926,62,11.4,17,"Comedy",3.7,"No"
"261",12873,1981,100,11.5,308,"Action",3.3,"No"
"262",22475,1974,72,13.6,6,"Action",4.7,"No"
"263",19533,1994,110,15.3,8,"Action",7.9,"Yes"
"264",41502,1979,102,17.2,427,"Action",7.9,"Yes"
"265",37493,1957,86,5.5,36,"Comedy",4.7,"No"
"266",33621,1963,7,13.1,36,"Animation",7.7,"Yes"
"267",40264,1981,122,8.9,828,"Drama",4.9,"No"
"268",54824,1937,59,10.2,7,"Action",3.5,"No"
"269",9714,1943,8,12.5,57,"Animation",8.8,"Yes"
"270",41625,1992,33,16.5,5,"Short",7.5,"Yes"
"271",25359,2003,75,11.5,5,"Documentary",7.7,"Yes"
"272",3618,2002,40,9.5,11,"Documentary",8.6,"Yes"
"273",8687,1950,80,9.7,10,"Drama",4.3,"No"
"274",51437,1935,87,10.8,15,"Comedy",8.8,"Yes"
"275",3532,1905,8,12.9,7,"Drama",7.6,"Yes"
"276",12951,2001,7,11.4,11,"Drama",7.9,"Yes"
"277",36177,2001,94,12.9,59,"Action",8.2,"Yes"
"278",17202,1967,NA,12.5,5,"Action",3.2,"No"
"279",43434,2002,10,14.1,15,"Animation",8.2,"Yes"
"280",12089,1990,218,9.3,6,"Drama",4.8,"No"
"281",31562,1982,82,5.6,5,"Animation",1.3,"No"
"282",47054,1953,83,4.1,83,"Action",4,"No"
"283",38729,1992,90,12.9,90,"Comedy",7.4,"Yes"
"284",19157,1973,105,10.3,83,"Comedy",4.5,"No"
"285",44271,1987,99,13.2,241,"Drama",3,"No"
"286",49074,1966,92,13.3,21,"Drama",5,"No"
"287",47607,1963,111,15.6,10,"Action",3.5,"No"
"288",38387,2003,104,13.2,18,"Action",4.1,"No"
"289",5205,1979,111,12.4,130,"Documentary",8,"Yes"
"290",14462,2001,89,13.9,324,"Drama",3.7,"No"
"291",15421,1949,108,10.2,184,"Drama",4.7,"No"
"292",15240,1943,7,6.9,49,"Animation",8.7,"Yes"
"293",26484,1962,107,5.7,20,"Drama",2.9,"No"
"294",12432,1983,136,12,527,"Drama",5.5,"No"
"295",44005,1985,110,10.6,8,"Action",3.5,"No"
"296",24763,1981,85,15.4,14,"Animation",3.6,"No"
"297",37796,1938,7,11,8,"Animation",7.9,"Yes"
"298",43663,1994,90,13.8,25,"Documentary",8.6,"Yes"
"299",50152,2003,15,12.5,5,"Action",8.4,"Yes"
"300",43590,1935,8,10.2,54,"Animation",8.4,"Yes"
"301",41631,2002,13,9.5,10,"Comedy",7.8,"Yes"
"302",43699,2003,89,13.9,27,"Documentary",8.4,"Yes"
"303",56342,1975,17,11.1,11,"Short",8,"Yes"
"304",10949,1999,32,13.9,16,"Short",8.1,"Yes"
"305",2851,1981,92,11.9,22,"Action",4.2,"No"
"306",557,1964,3,16.2,6,"Short",7.6,"Yes"
"307",39272,1975,121,16.6,9,"Drama",3.8,"No"
"308",32326,1973,109,17.2,10,"Action",8.2,"Yes"
"309",1078,2000,5,7.1,5,"Comedy",7.5,"Yes"
"310",31001,2000,85,13.1,38,"Action",2.3,"No"
"311",11239,1997,112,14.2,72,"Action",5.1,"No"
"312",53476,1943,94,9,7,"Comedy",4.9,"No"
"313",55929,2001,76,16.1,64,"Comedy",7.8,"Yes"
"314",38672,1932,68,14.8,209,"Comedy",7.5,"Yes"
"315",10780,2001,72,8.9,10,"Drama",3.3,"No"
"316",8106,2001,91,14.8,1315,"Comedy",7.7,"Yes"
"317",28125,1960,88,9.9,10,"Comedy",4.5,"No"
"318",44626,1986,144,11.2,10,"Action",2.9,"No"
"319",27258,2000,70,12.2,15,"Comedy",8,"Yes"
"320",51911,1987,102,13.1,7973,"Comedy",4.2,"No"
"321",58586,2002,101,11.8,278,"Drama",5,"No"
"322",42526,2002,86,11.5,12,"Action",4.3,"No"
"323",33758,1944,99,9.2,992,"Comedy",2.8,"No"
"324",14000,1987,79,13.4,13,"Comedy",7.6,"Yes"
"325",27811,2003,3,14.8,7,"Animation",7.4,"Yes"
"326",39270,1978,125,12.7,60,"Drama",4.6,"No"
"327",57960,2002,165,12,24,"Comedy",4.7,"No"
"328",54678,1979,143,13.1,5,"Action",3.7,"No"
"329",41627,1949,6,8.4,91,"Short",7.6,"Yes"
"330",28450,2004,24,9,9,"Documentary",8.1,"Yes"
"331",40842,1963,122,11.1,10,"Action",4.7,"No"
"332",58131,1935,6,11.6,12,"Animation",8.1,"Yes"
"333",19776,1971,149,14.2,9,"Drama",4,"No"
"334",48970,1997,129,12.1,32618,"Action",4.2,"No"
"335",17813,1999,102,7.1,47,"Action",3,"No"
"336",1101,1939,85,10.1,509,"Action",3.8,"No"
"337",49515,1986,20,16.3,186,"Short",8.1,"Yes"
"338",38101,1957,105,7,91,"Comedy",5.5,"No"
"339",12231,1960,89,11.9,50,"Drama",3.3,"No"
"340",7671,1978,107,15.8,16,"Documentary",7.8,"Yes"
"341",32586,1931,7,12.7,14,"Animation",8.5,"Yes"
"342",48950,1987,93,11.5,60,"Drama",3.6,"No"
"343",24719,1994,91,3.9,96,"Action",3.7,"No"
"344",11424,2000,16,12.3,12,"Short",7.6,"Yes"
"345",33784,1985,90,15.1,143,"Comedy",7.6,"Yes"
"346",846,2001,35,9.3,159,"Comedy",8.4,"Yes"
"347",8341,1977,108,14.1,35,"Drama",5.2,"No"
"348",10350,1994,107,16.9,913,"Comedy",8.4,"Yes"
"349",20422,1995,96,11.1,12,"Documentary",7.5,"Yes"
"350",5309,2005,90,14.5,36,"Action",3.3,"No"
"351",28734,1943,86,3.9,118,"Comedy",5.2,"No"
"352",33103,1993,97,15.7,4704,"Action",4,"No"
"353",35990,1998,81,14.3,8,"Action",4.6,"No"
"354",15033,2002,102,15.9,162,"Action",3.9,"No"
"355",2093,1967,20,10.6,10,"Documentary",8,"Yes"
"356",58351,1969,121,13.2,2483,"Drama",3.1,"No"
"357",43587,1995,133,16.7,6652,"Action",4.5,"No"
"358",45888,1999,101,17.3,90,"Comedy",8.2,"Yes"
"359",9778,1955,60,13.6,8,"Comedy",6.8,"No"
"360",11034,2004,NA,13.6,193,"Drama",3.9,"No"
"361",45261,2000,116,10.1,15403,"Action",2.1,"No"
"362",54475,2004,40,13.9,8,"Short",7.8,"Yes"
"363",36697,1989,104,8,107,"Action",3.6,"No"
"364",4184,1981,95,18.7,232,"Comedy",8,"Yes"
"365",13933,1933,113,13,1031,"Comedy",4.7,"No"
"366",26262,1978,3,14.7,24,"Comedy",7.4,"Yes"
"367",3657,1974,127,16.7,9,"Drama",3.3,"No"
"368",2975,1996,12,10.7,6,"Animation",5.7,"No"
"369",31841,1969,NA,7.9,40,"Drama",3.9,"No"
"370",58079,1973,72,9.7,7,"Comedy",8.4,"Yes"
"371",33430,1959,118,9,43,"Drama",2.1,"No"
"372",19741,2003,NA,12.5,198,"Comedy",3.2,"No"
"373",44589,1985,89,10.5,44,"Comedy",4,"No"
"374",6876,1954,149,14.9,24,"Drama",5,"No"
"375",6278,1932,91,10.5,53,"Comedy",7.7,"Yes"
"376",29027,2001,24,8.4,7,"Short",7.9,"Yes"
"377",55647,1990,120,15.5,221,"Comedy",7.2,"Yes"
"378",2284,1986,108,16.5,99,"Drama",3.1,"No"
"379",8619,1935,52,9.2,5,"Action",4.7,"No"
"380",2545,1946,100,6.8,284,"Comedy",3.2,"No"
"381",20252,1942,81,10.9,7,"Comedy",8.6,"Yes"
"382",6287,1971,77,10.2,14,"Drama",5.1,"No"
"383",7633,1926,85,15.8,19,"Drama",4.5,"No"
"384",31404,1960,89,14.7,13,"Action",3.6,"No"
"385",32135,1975,127,12.3,332,"Action",4.1,"No"
"386",44067,1997,52,13.6,27,"Comedy",7.1,"Yes"
"387",7506,1931,72,10.8,42,"Comedy",8.1,"Yes"
"388",30705,1997,50,14.9,25,"Documentary",7.8,"Yes"
"389",3843,1932,8,10.2,66,"Animation",8.2,"Yes"
"390",451,1953,73,15.8,17,"Drama",3.7,"No"
"391",46419,2000,69,11.4,83,"Drama",3,"No"
"392",12105,1968,120,12.2,228,"Action",4.2,"No"
"393",36824,1976,90,10.6,155,"Drama",5,"No"
"394",24622,1980,101,18.9,6,"Drama",4.5,"No"
"395",12921,2003,120,13,54,"Action",3.9,"No"
"396",37304,1981,90,15.1,8,"Action",3.8,"No"
"397",37079,2000,112,9.1,41,"Drama",3.8,"No"
"398",11565,1989,5,14.9,1302,"Animation",7.7,"Yes"
"399",13939,1957,94,9,29,"Drama",4,"No"
"400",1937,1974,90,2.9,20,"Action",4.5,"No"
"401",20557,1980,93,12.2,71,"Action",2.9,"No"
"402",6892,1993,120,11.1,167,"Drama",4,"No"
"403",10334,1946,78,16.3,25,"Comedy",8,"Yes"
"404",6676,1989,100,14.9,32,"Drama",3.7,"No"
"405",4655,1921,13,8,32,"Comedy",7.4,"Yes"
"406",41696,2003,114,10.3,273,"Comedy",3.2,"No"
"407",17594,1926,95,12.9,5,"Drama",4.5,"No"
"408",40291,1988,90,13,31,"Action",3.2,"No"
"409",15071,2002,75,10.5,6,"Documentary",7.3,"Yes"
"410",8895,1965,115,9.8,50,"Comedy",4.4,"No"
"411",20334,1965,80,15.7,62,"Comedy",7.9,"Yes"
"412",2635,1977,91,10.8,335,"Comedy",7.7,"Yes"
"413",51292,1990,93,10.7,10,"Action",5,"No"
"414",36208,1981,88,14.5,1124,"Comedy",7.2,"Yes"
"415",38227,1935,NA,7.7,12,"Drama",3.2,"No"
"416",26786,1976,94,13,17,"Comedy",8.2,"Yes"
"417",9117,2002,88,12.7,8,"Drama",5.7,"No"
"418",29705,1995,115,12.2,79,"Action",2,"No"
"419",3239,1938,90,16.7,20,"Comedy",7.7,"Yes"
"420",26935,1976,87,16.9,32,"Comedy",8.3,"Yes"
"421",30142,1993,90,13.2,21,"Action",5.2,"No"
"422",3809,1996,100,12.4,35,"Action",4,"No"
"423",7526,1958,12,8.7,5,"Short",8.6,"Yes"
"424",50349,1945,8,9.8,68,"Animation",8.1,"Yes"
"425",8713,1926,165,8.1,12,"Drama",1.3,"No"
"426",7236,2002,86,7.5,58,"Action",2.8,"No"
"427",42619,1997,95,14.3,148,"Action",4.6,"No"
"428",54309,1950,91,11.2,31,"Drama",5.6,"No"
"429",35696,1981,197,10.1,85,"Action",3.6,"No"
"430",54983,1991,85,9.2,77,"Action",3.3,"No"
"431",33112,2004,93,9.6,32,"Drama",3.7,"No"
"432",8468,2002,NA,11.4,7,"Animation",4.5,"No"
"433",56734,2000,120,13.9,5042,"Comedy",4.4,"No"
"434",41341,1953,64,12.3,30,"Comedy",8,"Yes"
"435",23735,1952,7,8.5,15,"Animation",7.9,"Yes"
"436",48703,1966,93,14.6,18,"Comedy",8.3,"Yes"
"437",52126,1994,90,11.2,10,"Action",5,"No"
"438",54808,1962,80,13.1,6,"Action",5.9,"No"
"439",5334,1989,90,9.3,62,"Comedy",4,"No"
"440",12044,1932,75,12.8,47,"Drama",4,"No"
"441",185,2000,85,16.4,28,"Action",7.9,"Yes"
"442",8157,1930,7,12.1,16,"Animation",7.9,"Yes"
"443",37288,1960,61,12.6,27,"Action",4.5,"No"
"444",33879,1999,88,11.3,58,"Comedy",8.3,"Yes"
"445",57409,1946,107,12.7,185,"Comedy",4.1,"No"
"446",18494,1996,94,17.1,5,"Action",7.7,"Yes"
"447",4751,1966,48,12.9,90,"Action",4.6,"No"
"448",18452,1997,90,11.9,13,"Action",4.1,"No"
"449",52751,1998,75,9.8,21,"Action",3.5,"No"
"450",17364,1974,NA,14.7,11,"Drama",4.7,"No"
"451",58421,1996,80,13.9,77,"Action",3.8,"No"
"452",43012,1953,115,10.6,208,"Comedy",8,"Yes"
"453",23560,2003,5,11.7,7,"Action",8.2,"Yes"
"454",35685,2000,85,11.3,10,"Action",4.1,"No"
"455",14455,1946,63,11.4,5,"Action",2.7,"No"
"456",31087,1920,70,12.8,7,"Drama",3.7,"No"
"457",6239,2001,95,13.9,28,"Action",3.6,"No"
"458",33938,1980,90,10.3,9,"Drama",5.5,"No"
"459",55154,1978,45,14,57,"Action",3.6,"No"
"460",2516,1999,82,14.7,28,"Drama",4.5,"No"
